seed,run,chattering_index,settling_time,overshoot_theta1,overshoot_theta2,control_energy,rms_control,success
51,1,115.8237451791342,10.0,5.412526632163284,2.3818790589863235,224104.5388068111,149.70121536140283,False
51,2,108.85100013360653,0.11,5.060156795897003,3.431046893698401,224020.99675060157,149.6733098286403,True
51,3,100.7802206459186,10.0,4.102736928516007,2.3261228236114735,224501.06664114285,149.83359658005372,False
51,4,116.85667536287254,10.0,4.705683015456475,3.64813294708528,224085.04006652682,149.69470266730443,False
51,5,109.53464338275761,10.0,4.383088229233394,1.9613340225374003,224044.32155822136,149.68110153196406,False
51,6,112.32249958271042,10.0,3.9838606241751453,3.6044899685185148,224293.41132443075,149.7642852366447,False
51,7,108.46650379984663,10.0,4.092091397032064,3.748609154961779,224460.68052695904,149.82011898505456,False
51,8,104.99149202109754,10.0,4.308711815085783,1.8947689394871061,223735.80591865416,149.5780083831357,False
51,9,110.54231428229019,10.0,4.166869008784446,2.1535246050255705,223895.01010756887,149.63121669877876,False
51,10,99.66518519337397,10.0,4.71855423164591,3.81624864450339,224547.2699066151,149.84901397961053,False
51,11,110.64103035766705,0.09,4.771013961506754,2.841115313722526,224250.4655986561,149.7499467775051,True
51,12,114.39044367836044,10.0,4.38215409808784,3.8253278449061647,224290.70622860335,149.76338211612455,False
51,13,110.06212100663004,10.0,4.097865264467055,1.9266664225332082,224178.74244106637,149.72599722194752,False
51,14,117.98976922689697,10.0,4.999610760939895,2.411335568162268,223500.95941409163,149.4994847529889,False
51,15,99.25460493013789,10.0,4.462174036189894,3.0596788419839624,224515.0649346605,149.83826778719128,False
51,16,101.72467875896241,10.0,4.959000750852518,2.1708471493949095,223687.2665776738,149.56178207606172,False
51,17,109.86389694913878,10.0,4.451395841982676,1.7570643768212115,224181.80239749793,149.72701907053982,False
51,18,109.52741697620802,10.0,4.918915995356646,3.752609098948912,224314.86349045165,149.77144704196846,False
51,19,86.6649268969167,10.0,5.162653051999323,3.3061649417379733,224687.40973310874,149.895767029329,False
51,20,112.69700047696908,10.0,5.838069984927688,1.8866430997945842,224137.23058878898,149.71213397343215,False
51,21,101.21858703840951,10.0,4.603937078091634,1.6845594299768538,223116.5813745305,149.37087446170037,False
51,22,106.54546043268329,0.06,4.7515316044472335,3.6236893752195485,224411.85601066487,149.80382371977853,True
51,23,114.65971228674803,0.0,4.663035507593051,3.6305349069149253,224236.27664055745,149.74520915226552,True
51,24,95.2681965512105,10.0,5.295889461199063,3.272233493547736,224595.29689467177,149.8650382493101,False
51,25,106.95836340278827,10.0,5.120975236196857,3.122948821522249,224479.91774904937,149.8265389539014,False
51,26,111.68351171574204,10.0,4.633136498465906,3.835948829116712,224403.00868152588,149.80087071894005,False
51,27,105.09365696656361,10.0,4.203640852929005,3.680744851343464,224489.2586206913,149.8296561501398,False
51,28,111.8402947100352,10.0,5.782864460654489,2.2746080809345566,224132.71386081897,149.7106254949257,False
51,29,97.60180050620835,10.0,4.293871165469162,3.516105065066618,224556.17787882805,149.8519862660579,False
51,30,106.44688961732433,10.0,4.8943020637163945,3.923325907714668,224465.8613293199,149.82184798263566,False
51,31,118.54036290754266,10.0,4.923598963854371,3.4552838084171325,224064.57293893586,149.68786622132598,False
51,32,118.43426417821367,10.0,4.964531795490987,3.000845302737707,224060.7999450129,149.6866059288582,False
51,33,104.140970235296,10.0,4.00644197034174,3.237543495713496,224482.0234279152,149.8272416578224,False
51,34,119.11977083386343,10.0,4.591428082453365,3.708228427760295,224120.6415191486,149.70659354856372,False
51,35,107.64248720112393,10.0,4.258377802406987,1.9066831628212175,223950.86299909485,149.64987905076796,False
51,36,114.69054330456376,10.0,3.966192941191655,3.1178041909346295,224115.7206774157,149.7049500442172,False
51,37,102.0846548601299,10.0,4.994977666989248,1.9246553049430213,223733.55549130077,149.57725612248032,False
51,38,110.36532235268672,10.0,4.290317456409653,2.7845484345057425,223756.19787927408,149.58482472472735,False
51,39,100.28955228531365,10.0,5.452697879003704,3.3902766436824865,224512.54224971763,149.83742598220167,False
51,40,115.46176258119992,10.0,2.997155341808594,9.974375846400342,224244.9029577984,149.74808945619253,False
51,41,107.8167560874097,10.0,4.058527478599983,3.733792370484453,224462.40226214394,149.82069358474615,False
51,42,111.47711043340861,0.08,4.673120903788131,3.2113879204667657,224205.09630199152,149.7347976597262,True
51,43,108.90827816689749,10.0,3.9426758908590926,2.9424713199677934,224339.23091597797,149.77958169122317,False
51,44,95.80412071588162,0.07,4.97467642681268,3.751010368743949,224551.73505778902,149.8505038556057,True
51,45,115.571387272305,10.0,4.112131651771688,3.0957820847875763,224208.55108081482,149.73595128786368,False
51,46,106.18622882159563,10.0,4.107853716476829,3.7867643931375166,224484.5117824187,149.82807206342164,False
51,47,98.07852799816168,10.0,4.612542350579184,3.25572816947664,224526.99792165618,149.84224969001772,False
51,48,110.21980839443262,10.0,4.590622024737651,2.9358415074811814,224185.48126753367,149.7282475912724,False
51,49,116.15795684123955,10.0,4.511316588503863,3.711565742955261,224027.72081394788,149.67555605841184,False
51,50,115.69175808435416,10.0,3.161094958302156,9.22565463407838,224070.10419859656,149.68971380779527,False
