controller,rmse,chattering,fitness,weight_rmse,weight_chattering,is_dominated,gains
classical_smc,9.364696571231221,49.36830456917604,6.279126790973665,0.9,0.1,False,"[28.74401342151667, 13.925174557339856, 8.063838234881079, 3.0508456144048983, 1.754579534688462, 0.20302893724948837]"
classical_smc,9.364696571231221,49.36830456917604,9.890027041235841,0.7,0.3,False,"[16.386241703076983, 9.778199252720738, 7.992091471532644, 3.1055912991022687, 1.7057345022143178, 0.2167029561232452]"
classical_smc,9.364696571231221,49.36830456917604,11.308492951433195,0.5,0.5,False,"[22.393452808455052, 10.389889290183827, 4.260675094924114, 2.072165227756201, 1.149504504241495, 0.08884653064397285]"
classical_smc,9.364696571231221,49.36830456917604,11.992960012480092,0.3,0.7,False,"[29.69643385037665, 8.34790239180897, 4.790692856059962, 2.5331996979605598, 1.2337975806463621, 0.08266365633734107]"
classical_smc,9.364696571231221,49.36830456917604,14.301212237907679,0.1,0.9,False,"[32.135144094070185, 10.22172275349593, 3.5223841399449753, 2.4894969351985, 1.1394820673431, 0.12126075086299148]"
