seed,run,chattering_index,settling_time,overshoot_theta1,overshoot_theta2,control_energy,rms_control,success
44,1,103.20102399430918,10.0,5.4792611204241695,3.290623334022888,224487.05336676852,149.8289202279615,False
44,2,117.19993202722475,10.0,4.178942497893455,3.9417795270503198,224183.57943713685,149.72761249587091,False
44,3,107.3326019510343,10.0,3.892652237402287,1.8473249699358654,223669.11426700422,149.55571345388455,False
44,4,99.03669227915674,10.0,4.481367072216169,2.1645745206016915,224506.94761472408,149.8355590688419,False
44,5,117.54378706946133,10.0,5.438045441710978,1.860374504472501,224113.68811765086,149.70427118744837,False
44,6,112.35872299364809,10.0,4.283578857671956,2.9657439961783716,224109.8288577237,149.70298222070383,False
44,7,109.00438429805895,10.0,4.058760384873008,1.842708420349777,223861.5759599274,149.6200440983518,False
44,8,107.94946739873997,10.0,4.3254916923882,1.7713426147651687,223767.38182913733,149.58856300838553,False
44,9,111.68067386263746,10.0,4.251894298856686,1.9072972131246961,224017.05117442243,149.67199176012272,False
44,10,109.50528356132648,10.0,5.64817614050632,2.1242868950473426,224419.01643895498,149.80621363580184,False
44,11,111.79613203768756,10.0,2.2166307287290623,10.735138626217065,223788.97927477525,149.59578178370379,False
44,12,108.46468838162365,0.0,4.476290958644319,3.376130836176724,223625.13366254364,149.54100897832126,True
44,13,99.15023497910174,10.0,4.629393820855844,4.045293578298055,224556.09844289292,149.85195976125667,False
44,14,117.11013639129719,10.0,4.150167982195762,3.6877847071302554,224225.71196069647,149.741681558842,False
44,15,101.48487219193923,10.0,4.636950668206974,1.6961768623391225,223365.8063190159,149.45427605760094,False
44,16,112.11086011134755,10.0,4.355361228391132,3.8506918586738563,224451.41470235042,149.8170266366111,False
44,17,110.00814864824777,10.0,3.9881363069645226,3.3771234158151797,224341.47502795048,149.780330827499,False
44,18,107.57108741058178,10.0,4.334121333946628,3.999804910902365,224489.65020295195,149.82978682590186,False
44,19,108.66478400667701,10.0,4.371233458937677,1.8479411344182304,224141.77195884378,149.71365066647857,False
44,20,124.68550549105076,10.0,4.607783686455838,3.6232580548510103,223820.7365164922,149.60639575783256,False
44,21,100.7712004376369,10.0,4.809524894841722,3.4120404827862227,224549.1063695723,149.84962674947587,False
44,22,111.84122754260373,10.0,3.1845026630826068,9.253063869233257,223838.91822302528,149.61247214822208,False
44,23,107.61676345498313,10.0,4.2931185818538715,1.779165562298626,223816.41828123576,149.604952552125,False
44,24,114.46541246395844,10.0,3.9465556067772867,3.185742877435144,224071.21587705362,149.69008513493927,False
44,25,113.76181932296664,10.0,5.054392495956387,3.518771375357853,224182.48233523473,149.72724612949867,False
44,26,111.9714449599848,0.06,4.662789765543056,3.696750005309183,224261.7460257473,149.75371315120947,True
44,27,100.51702441633827,10.0,4.241711564859128,3.911841767183238,224551.5022885777,149.8504261884422,False
44,28,108.2922377867102,10.0,5.825137300646508,2.01454554844785,224390.59758731455,149.796728130929,False
44,29,99.85111632911781,10.0,4.272515846164298,1.8613440475920207,224496.4436855328,149.8320538755085,False
44,30,112.65035021954074,10.0,3.0446504321026073,9.593670434324343,223812.02764415124,149.60348513458877,False
44,31,116.90306120270961,10.0,5.333292084535139,2.4681169971300974,223639.159872669,149.5456986585268,False
44,32,120.68135674991974,10.0,4.287261028997375,3.944882128877168,224168.96355475739,149.72273159235286,False
44,33,115.8560324425755,10.0,4.317198675795899,3.668281449141578,223939.263604128,149.64600348961145,False
44,34,108.76873642008047,10.0,4.139673445454931,1.8338892726610934,224292.0049275435,149.7638156991012,False
44,35,100.76604658330437,10.0,2.6524701961036428,10.69123546560442,224532.74821021137,149.84416845850603,False
44,36,102.60825233539829,10.0,3.886729902557312,3.3799005444057597,224495.39507461115,149.83170394633146,False
44,37,105.47141743716939,10.0,3.9289942028555944,2.281515836221621,224465.67178488642,149.82178472601586,False
44,38,115.58446119917647,10.0,5.347011555477556,2.1531288106716153,224259.83884663816,149.75307637796232,False
44,39,113.31278184969561,10.0,5.249367310130115,2.602354826643739,224358.91901781643,149.7861539054316,False
44,40,107.52025099707735,10.0,4.119721456016208,3.7944267101877784,224472.43109773076,149.82404049341707,False
44,41,110.55568703741967,10.0,4.857297737526829,3.7452067087178733,224298.0864216683,149.76584604697706,False
44,42,103.8355200573886,10.0,3.9156860438706516,3.205114975053523,224487.11848212653,149.82894195786292,False
44,43,95.90924381692786,10.0,4.042790898572404,3.622368947761559,224584.8288803936,149.86154572817992,False
44,44,98.69708772338669,10.0,4.548967232773033,1.7691228456090915,224500.83441061393,149.83351908388656,False
44,45,112.6108737257408,10.0,3.042616708589486,9.571652461938768,223791.98642622968,149.59678687265634,False
44,46,113.17953207978944,0.07,4.917000731632003,3.6600059703860817,224243.87065160004,149.7477447748713,True
44,47,110.42459434775229,10.0,4.024379288238984,2.151697239466168,224146.27745544346,149.71515536359152,False
44,48,117.90897240482381,10.0,4.096326160628362,3.8281310123904477,224049.53209129817,149.68284206658362,False
44,49,105.6500790568322,0.11,4.863043279219857,3.3482754865366195,223623.43784118214,149.54044196844615,True
44,50,114.14590097413284,10.0,3.9640680746985058,3.3457730588296872,224064.67223135682,149.68789938781185,False
