iteration,best_fitness,mean_fitness,global_best_fitness,best_epsilon_min,best_alpha
1,6.028643863773165,6.607755894897223,6.028643863773165,0.048625281322982376,1.6167946962329223
2,5.971358735832554,6.492536862902587,5.971358735832554,0.05,1.2433855553830062
3,6.1316518965779645,6.768060460462076,5.971358735832554,0.05,1.2433855553830062
4,6.1728314874057535,6.790614596367809,5.971358735832554,0.05,1.2433855553830062
5,6.176180888173908,6.57571435489703,5.971358735832554,0.05,1.2433855553830062
6,6.094516387316197,6.69942102884267,5.971358735832554,0.05,1.2433855553830062
7,6.225510325440823,6.637556132508947,5.971358735832554,0.05,1.2433855553830062
8,6.017724794965178,6.678453376779862,5.971358735832554,0.05,1.2433855553830062
9,6.212403891559365,6.759174218536121,5.971358735832554,0.05,1.2433855553830062
10,6.164996706535388,6.750915052303651,5.971358735832554,0.05,1.2433855553830062
11,5.967131402321258,6.612818838350936,5.967131402321258,0.017058389039001715,1.1416660272849808
12,6.201013165870055,6.709608754699547,5.967131402321258,0.017058389039001715,1.1416660272849808
13,6.276593251383096,6.678822559406386,5.967131402321258,0.017058389039001715,1.1416660272849808
14,6.215571169702868,6.707282172989925,5.967131402321258,0.017058389039001715,1.1416660272849808
15,6.294538616919473,6.728552858450088,5.967131402321258,0.017058389039001715,1.1416660272849808
16,6.187681369593174,6.611155232234809,5.967131402321258,0.017058389039001715,1.1416660272849808
17,6.147222649252142,6.543208633473786,5.967131402321258,0.017058389039001715,1.1416660272849808
18,6.218808155819666,6.7528720942303,5.967131402321258,0.017058389039001715,1.1416660272849808
19,6.257033605680897,6.615451438615034,5.967131402321258,0.017058389039001715,1.1416660272849808
20,6.1840541847230215,6.653993075947171,5.967131402321258,0.017058389039001715,1.1416660272849808
21,6.185993252956781,6.76264562526975,5.967131402321258,0.017058389039001715,1.1416660272849808
22,6.124711492657297,6.773132343818909,5.967131402321258,0.017058389039001715,1.1416660272849808
23,5.986201228882109,6.760469717373047,5.967131402321258,0.017058389039001715,1.1416660272849808
24,6.407284477758272,6.638927974647495,5.967131402321258,0.017058389039001715,1.1416660272849808
25,6.218222134211568,6.69931421907946,5.967131402321258,0.017058389039001715,1.1416660272849808
26,6.217746286900007,6.590248015887986,5.967131402321258,0.017058389039001715,1.1416660272849808
27,6.196657803248277,6.624912899386759,5.967131402321258,0.017058389039001715,1.1416660272849808
28,6.115076067888195,6.696252713556186,5.967131402321258,0.017058389039001715,1.1416660272849808
29,6.087680560905469,6.605406280147894,5.967131402321258,0.017058389039001715,1.1416660272849808
30,6.130193745366752,6.6923393857584665,5.967131402321258,0.017058389039001715,1.1416660272849808
31,6.145561321400502,6.689528869929092,5.967131402321258,0.017058389039001715,1.1416660272849808
32,6.175512292728615,6.547477311442437,5.967131402321258,0.017058389039001715,1.1416660272849808
33,6.1176109930873315,6.683584469337769,5.967131402321258,0.017058389039001715,1.1416660272849808
34,6.215183099806236,6.71498917968334,5.967131402321258,0.017058389039001715,1.1416660272849808
35,6.139780827897991,6.7761399284234525,5.967131402321258,0.017058389039001715,1.1416660272849808
36,6.225963122539976,6.715094018882803,5.967131402321258,0.017058389039001715,1.1416660272849808
37,6.170850988111409,6.611100572109607,5.967131402321258,0.017058389039001715,1.1416660272849808
38,6.103823366253701,6.665177524008468,5.967131402321258,0.017058389039001715,1.1416660272849808
39,6.138147851763167,6.741109486982293,5.967131402321258,0.017058389039001715,1.1416660272849808
40,6.227923463958093,6.790810379464787,5.967131402321258,0.017058389039001715,1.1416660272849808
41,6.193015604418727,6.730577863000041,5.967131402321258,0.017058389039001715,1.1416660272849808
42,6.0490814480029185,6.683139288264886,5.967131402321258,0.017058389039001715,1.1416660272849808
43,6.168949716807058,6.647951063558361,5.967131402321258,0.017058389039001715,1.1416660272849808
44,6.207173129997112,6.880858078469742,5.967131402321258,0.017058389039001715,1.1416660272849808
45,6.103374076114961,6.684016083689445,5.967131402321258,0.017058389039001715,1.1416660272849808
46,6.344044614446526,6.893575624597768,5.967131402321258,0.017058389039001715,1.1416660272849808
47,6.2137143994257755,6.811322045510498,5.967131402321258,0.017058389039001715,1.1416660272849808
48,6.151631328949823,6.537082483251611,5.967131402321258,0.017058389039001715,1.1416660272849808
49,6.1521958301368205,6.685160802652095,5.967131402321258,0.017058389039001715,1.1416660272849808
50,6.296909354689465,6.715178127223936,5.967131402321258,0.017058389039001715,1.1416660272849808
