controller,scenario,settling_time_mean,settling_time_std,overshoot_mean,overshoot_std,convergence_rate
adaptive_smc,I2+20%,10.0,0.0,240.78663247512196,2.842170943040401e-14,0.0
adaptive_smc,all_masses-20%,10.0,0.0,219.77595575660158,0.0,0.0
hybrid_adaptive_sta_smc,nominal,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m0+10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m0-10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m1-10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m2-10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l1+10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l1-10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l2+10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l2-10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,I1+10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,I2+10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,all_masses-10%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m0+20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m0-20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m1-20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,m2-20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l1+20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l1-20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l2+20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,l2-20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,I1+20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,I2+20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
hybrid_adaptive_sta_smc,all_masses-20%,10.0,0.0,5.729577951308232,8.881784197001252e-16,0.0
