time,x1,x2,x3,x4,u,tracking_error,control_effort,chattering_metric
0.0,0.0,0.05,-0.03,0.0,-10.77,0.05830951894845301,10.77,0.0
0.01,0.0,0.05,-0.03,-0.06120890551846274,-11.308030524710645,0.08453715227500923,11.308030524710645,0.0
0.02,-0.0006120890551846274,0.0508630510170153,-0.0297722374594925,-0.12538932913456324,-11.907289952086982,0.13855069323511598,11.907289952086982,0.5380305247106456
0.03,-0.0018659823465302598,0.052624778581289944,-0.029297316251037642,-0.19288994396498052,-12.57361052452593,0.20208342938789908,12.57361052452593,0.5686449760434913
0.04,-0.003794881786180065,0.055327067416111285,-0.028554599564827546,-0.26409211428221435,-13.313408280630009,0.2713586105119862,13.313408280630009,0.6012035081753103
0.05,-0.0064358029290022085,0.0590185378188338,-0.02752202555010868,-0.3394130871926755,-14.133732223657022,0.3456635835804195,14.133732223657022,0.6358520701575023
0.06,-0.009829933800928965,0.06375507364697455,-0.026175925864382162,-0.41930942341722777,-15.042315901685164,0.4250493014646741,15.042315901685164,0.6727464447314044
0.07,-0.014023028035101241,0.06960040512446294,-0.024490850179712642,-0.5042806657564847,-16.047630662846753,0.5098427731243144,16.047630662846753,0.7120526502808607
0.08,-0.019065834692666088,0.07662674944134006,-0.022439401393448345,-0.5948732346883641,-17.15893946153083,0.6005104968824173,17.15893946153083,0.7539472375495363
0.09,-0.02501456703954973,0.08491551164701455,-0.019992088546473337,-0.6916845275876222,-18.386349561049602,0.6976127450032809,18.386349561049602,0.798617432691354
0.1,-0.031931412315425955,0.094558047540275,-0.017117207452420347,-0.795367179991123,-19.740861759016937,0.8017872468710683,19.740861759016937,0.8462610623388448
0.11,-0.039885084115337185,0.10565648901539584,-0.013780763028793662,-0.906633422500569,-20.0,0.9137440483147887,20.0,0.9369812482562546
0.12,-0.048951418340342875,0.11832463046963176,-0.009946452609816405,-1.0192767830734908,-20.0,1.0273368736521966,20.0,0.8991900053236687
0.13,-0.059144186171077785,0.13260356341037005,-0.005623426539198882,-1.1318276941052188,-20.0,1.1411166863456803,20.0,0.8251543861637854
0.14,-0.07046246311212997,0.14851995057931275,-0.0008341041811404252,-1.2442812286131009,-20.0,1.2550934650601215,20.0,0.7429546354855545
0.15,-0.08290527539826098,0.16610399683245627,0.004395404534467115,-1.3566284433854707,-20.0,1.3692785967202163,20.0,0.6518075307047754
0.16,-0.0964715598321157,0.18538941848104087,0.010034645246930924,-1.4688556700489697,-20.0,1.4836824700323918,20.0,0.5508537887016485
0.17,-0.1111601165326054,0.20641340387929932,0.016048046009275913,-1.5809437131848685,-20.0,1.5983127443801657,20.0,0.43915214857258295
0.18,-0.1269695536644541,0.229216562499555,0.02239400717328098,-1.6928669464844408,-20.0,1.713172930599446,20.0,0.31567339316324095
0.19,-0.1438982231292985,0.2538428592492715,0.029023833883541753,-1.804592299195917,-20.0,1.8282610987115926,20.0,0.17929449321671084
0.2,-0.16194414612125768,0.2803395302291152,0.03588048777970185,-1.9160781271184952,-20.0,1.9435686139926354,20.0,0.028793137887006992
0.21,-0.18110492739244263,0.3087569754974398,0.04289713137156371,-2.0272729653846913,-20.0,2.0590788485882947,20.0,0.0
0.22,-0.20137765704628954,0.33914862368844184,0.04999543533435887,-2.138114164533991,-20.0,2.174765843451284,20.0,0.0
0.23,-0.22275879869162946,0.37157076252735005,0.05708361581144177,-2.2485264172679935,-20.0,2.2905929150125828,20.0,0.0
0.24,-0.2452440628643094,0.4060823284058922,0.06405416593306056,-2.358420191201,-20.0,2.406511217977528,20.0,0.0
0.25,-0.2688282647763194,0.4427446472545405,0.07078124350464837,-2.467690093354342,-20.0,2.522458292992457,20.0,0.0
0.26,-0.2935051657098628,0.48162111804007496,0.07711767569249774,-2.5762132056201055,-20.0,2.6383566476797977,20.0,0.0
0.27,-0.31926729776606383,0.522776829454013,0.08289154226997922,-2.683847447514425,-20.0,2.754112443264876,20.0,0.0
0.28,-0.3461057722412081,0.5662780999650537,0.08790230261777697,-2.7904300438281977,-20.0,2.8696143880987317,20.0,0.0
0.29,-0.37401007267949005,0.6121919317692149,0.09191643963023932,-2.8957762007616576,-20.0,2.984732975085202,20.0,0.0
0.3,-0.4029678346871066,0.660585370904613,0.09466260791281879,-2.9996781250700066,-20.0,3.0993202434414497,20.0,0.0
0.31,-0.43296461593780666,0.7115247698671456,0.09582629674601573,-3.1019045564413,-20.0,3.213210297071765,20.0,0.0
0.32,-0.46398366150221965,0.765074956899539,0.09504405358325277,-3.2022010226867184,-20.0,3.3262208720458175,20.0,0.0
0.33,-0.49600567172908683,0.8212983297412932,0.09189736555027589,-3.3002910678161497,-20.0,3.4381563127533052,20.0,0.0
0.34,-0.5290085824072484,0.880253913645841,0.08590636964997127,-3.395878740066816,-20.0,3.548812386465868,20.0,0.0
0.35000000000000003,-0.5629673698079165,0.9419964569301834,0.07652366321232222,-3.4886526532520046,-20.0,3.6579834322220686,20.0,0.0
0.36,-0.5978538963404365,1.006575684950311,0.06312862160629953,-3.5782919411089726,-20.0,3.7654723912908934,20.0,0.0
0.37,-0.6336368157515262,1.0740358958900884,0.04502280870425794,-3.664474402204246,-20.0,3.8711042891725285,20.0,0.0
