time,x1,x2,x3,x4,u,tracking_error,control_effort,chattering_metric
0.0,0.0,0.05,-0.03,0.0,7.878796664974479,0.05830951894845301,7.878796664974479,0.0
0.01,0.0,0.05,-0.03,0.04431165538374567,5.3212783285935075,0.07323607582911469,5.3212783285935075,0.0
0.02,0.0004431165538374567,0.04956853332398538,-0.03048802131595257,0.07409972021720251,2.7818626663516737,0.09422061254418272,2.7818626663516737,2.557518336380972
0.03,0.0011841137560094819,0.048883924337302265,-0.03136280378063207,0.08948792701362553,0.755925689719675,0.10668999356163006,0.755925689719675,2.548466999311403
0.04,0.002078993026145737,0.04812180708565606,-0.03252518219947774,0.09340131252679508,-0.2798277964998288,0.11000783239401243,0.2798277964998288,2.3742903250849348
0.05,0.0030130061514136875,0.047421178597899974,-0.033897062369679716,0.09145737967076861,-0.5820141627160135,0.10849566590062232,0.5820141627160135,2.039656115368577
0.06,0.0039275799481213736,0.04685180388764823,-0.03543958237829473,0.08781388565224207,-0.8125428054605109,0.10572492574728308,0.8125428054605109,1.6921621655380985
0.07,0.004805718804643795,0.04643250261890484,-0.03714303615454723,0.08287782041862297,-0.9741148278448004,0.10211469279591177,0.9741148278448004,1.4485565784058316
0.08,0.005634497008830025,0.046177371055505276,-0.03900131052301823,0.07704026407682524,-1.0734661915465125,0.09808364627031456,1.0734661915465125,1.2647016418313257
0.09,0.0064048996495982774,0.04609602425329753,-0.041011763544536665,0.07065361256673458,-1.1201730017291167,0.09402001866222554,1.1201730017291167,1.1190328570651238
0.1,0.0071114357752656236,0.046194106486797976,-0.04317495141643104,0.06401558873985407,-1.125239347653597,0.09025818535967069,1.125239347653597,0.9998855185226216
0.11,0.007751591662664164,0.046473986998759646,-0.0454942507799579,0.057361259395595075,-1.0997843746764548,0.08706296327568921,1.0997843746764548,0.7162797418052339
0.12,0.008325204256620115,0.04693554385795615,-0.047975431382719556,0.05086248595278271,-1.054033809577129,0.08462203493660278,1.054033809577129,0.43695077633137913
