iteration,best_fitness,mean_fitness,global_best_fitness,best_epsilon_min,best_alpha
1,43.688441142859475,54.003211838540075,43.688441142859475,0.003252579649263976,0.09744427686266667
2,46.954278536689785,54.7369123993394,43.688441142859475,0.003252579649263976,0.09744427686266667
3,45.0112203204307,54.37082658786978,43.688441142859475,0.003252579649263976,0.09744427686266667
4,42.68398334697744,54.03440097207199,42.68398334697744,0.0,0.1
5,42.29160802327256,55.77218822200927,42.29160802327256,0.0,0.09681172329006056
6,46.53266579193614,55.26713807706978,42.29160802327256,0.0,0.09681172329006056
7,44.656260674190634,55.378517172640436,42.29160802327256,0.0,0.09681172329006056
8,42.495941424004684,55.117934904625606,42.29160802327256,0.0,0.09681172329006056
9,45.953759526507014,54.70707014859892,42.29160802327256,0.0,0.09681172329006056
10,44.119766921810125,55.74819992281528,42.29160802327256,0.0,0.09681172329006056
11,43.86415183121665,54.76111473422866,42.29160802327256,0.0,0.09681172329006056
12,43.04616828074697,54.69989075298217,42.29160802327256,0.0,0.09681172329006056
13,44.30220528487819,55.02186480277257,42.29160802327256,0.0,0.09681172329006056
14,47.89408494145396,55.95831622830632,42.29160802327256,0.0,0.09681172329006056
15,44.87345855643179,55.3094607408438,42.29160802327256,0.0,0.09681172329006056
16,42.617332639448236,54.52272723422014,42.29160802327256,0.0,0.09681172329006056
17,43.374525033681124,55.17680165172412,42.29160802327256,0.0,0.09681172329006056
18,39.57341045505276,54.5817729176057,39.57341045505276,0.0008909375202309041,0.08976881113011285
19,43.344353435922066,55.12014901827214,39.57341045505276,0.0008909375202309041,0.08976881113011285
20,42.59128970446814,54.58512373287687,39.57341045505276,0.0008909375202309041,0.08976881113011285
21,38.95033643294187,54.8012277255615,38.95033643294187,0.0006831958211439163,0.09553064889604543
22,46.94028719011952,54.974205095641516,38.95033643294187,0.0006831958211439163,0.09553064889604543
23,41.97437540116081,54.458143809087,38.95033643294187,0.0006831958211439163,0.09553064889604543
24,45.59164044830128,54.27971912133647,38.95033643294187,0.0006831958211439163,0.09553064889604543
25,42.99343573096722,54.587762167226074,38.95033643294187,0.0006831958211439163,0.09553064889604543
26,44.900863217306664,54.92544038230465,38.95033643294187,0.0006831958211439163,0.09553064889604543
27,40.48352683791522,54.2572661622419,38.95033643294187,0.0006831958211439163,0.09553064889604543
28,44.05825486969023,54.937178747822266,38.95033643294187,0.0006831958211439163,0.09553064889604543
29,43.318086909761945,53.45765777653219,38.95033643294187,0.0006831958211439163,0.09553064889604543
30,38.23053286915731,55.29401577841211,38.23053286915731,0.0,0.09272460521764936
31,48.09445642505519,54.79912085569399,38.23053286915731,0.0,0.09272460521764936
32,45.105998406085,55.21291298213042,38.23053286915731,0.0,0.09272460521764936
33,47.60898830441199,54.890532470354046,38.23053286915731,0.0,0.09272460521764936
34,42.48705647833526,54.665646407769714,38.23053286915731,0.0,0.09272460521764936
35,43.45356415382544,54.87512096440482,38.23053286915731,0.0,0.09272460521764936
36,48.19121118189854,55.8381582267351,38.23053286915731,0.0,0.09272460521764936
37,45.37359931281422,55.54758913990101,38.23053286915731,0.0,0.09272460521764936
38,42.10893789487098,55.352070080168126,38.23053286915731,0.0,0.09272460521764936
39,47.41745981189893,54.69722336420745,38.23053286915731,0.0,0.09272460521764936
40,47.5016034737318,55.97387392806432,38.23053286915731,0.0,0.09272460521764936
41,43.10774320600385,53.952179310143656,38.23053286915731,0.0,0.09272460521764936
42,44.73472766039754,55.01162927065347,38.23053286915731,0.0,0.09272460521764936
43,46.18373062438771,55.138440328736344,38.23053286915731,0.0,0.09272460521764936
44,39.58410952005195,54.165210568616864,38.23053286915731,0.0,0.09272460521764936
45,46.0590056547822,55.90772871355885,38.23053286915731,0.0,0.09272460521764936
46,45.271774965481704,55.17348113426465,38.23053286915731,0.0,0.09272460521764936
47,47.11817631858698,54.52308362265435,38.23053286915731,0.0,0.09272460521764936
48,42.005366741059824,54.72043779358937,38.23053286915731,0.0,0.09272460521764936
49,41.305445110075475,54.60252976646884,38.23053286915731,0.0,0.09272460521764936
50,45.366160472117265,55.07520758390237,38.23053286915731,0.0,0.09272460521764936
